airbnbhostid,airbnbpropertyid,city,superhost_period_all,hostresponseaverage_pastyear,available_days,available_days_avelistedprice,booked_days,booked_days_aveprice,listingtype,createddate,zipcode,bedrooms,bathrooms,instantbookenabled,numberofreviews,ratingoverall,revenue,reservations,host_is_superhost_1_0
15523506,7436028,Los Angeles,9,100.0,16,131.25,1,145.0,Entire home/apt,2015-07-17,90004,1,1.0,0,158,98,145.0,1,1.0
58788671,22497777,Los Angeles,12,98.75439,121,137.61157,79,158.77216,Entire home/apt,2018-01-09,90012,2,2.0,1,27,90,12543.0,17,1.0
50247036,9767682,Dallas,7,96.075,167,121.00599,59,120.76271000000001,Entire home/apt,2015-12-01,75201,1,1.0,0,127,99,7125.0,19,1.0
82278836,16425746,Chicago,11,100.0,79,219.11392,7,213.71427999999997,Entire home/apt,2016-12-17,60622,2,1.0,0,7,100,1496.0,2,1.0
2471877,15088466,Chicago,7,100.0,155,86.19355,6,87.0,Private room,2016-09-15,60657,1,1.0,0,4,95,522.0,2,1.0
5565918,7501292,New York,5,98.0,29,99.0,8,99.0,Entire home/apt,2015-07-20,11221,1,1.0,0,15,93,792.0,2,0.0
12649246,2473611,New York,9,97.76923000000001,213,95.46479000000001,51,98.0,Private room,2014-02-27,10026,1,1.0,0,113,95,4998.0,14,1.0
67750281,13090056,Philadelphia,8,100.0,114,74.11404,29,78.586205,Entire home/apt,2016-05-18,19128,3,2.0,1,48,95,2279.0,6,0.0
120796832,17719034,Miami,10,96.72726999999999,179,53.178771999999995,43,55.0,Entire home/apt,2017-03-12,33135,1,1.0,1,21,88,2365.0,8,0.0
30536998,13940247,Chicago,11,100.0,210,105.28571000000001,14,112.57143,Private room,2016-07-10,60612,1,1.0,0,36,96,1576.0,7,1.0
106182975,16242794,Miami,10,100.0,209,60.148327,66,62.090908,Entire home/apt,2016-12-02,33305,0,1.0,1,66,98,4098.0,20,1.0
21977385,4235227,Los Angeles,9,94.23076999999999,203,75.5468,9,80.0,Entire home/apt,2014-09-17,90041,0,0.0,0,42,92,720.0,8,0.0
1354431,1901365,Miami,7,100.0,209,81.36842,20,102.1,Private room,2013-11-06,33139,1,1.0,0,79,96,2042.0,3,1.0
1255977,9176785,New York,9,100.0,127,110.29133600000002,24,103.333336,Entire home/apt,2015-10-28,11233,1,1.0,0,75,98,2480.0,6,1.0
5440183,7947008,Houston,9,99.57377,230,40.0,0,0.0,Private room,2015-08-17,77004,1,1.0,0,0,0,0.0,0,0.0
4525158,1117689,Philadelphia,9,100.0,243,117.77778,84,85.0,Private room,2013-04-27,19143,1,1.0,1,33,82,7140.0,5,0.0
107953084,22343079,New York,12,100.0,127,69.25197,19,71.052635,Private room,2017-12-20,11225,1,2.0,1,18,97,1350.0,3,1.0
11203497,15985071,Washington,9,100.0,207,105.51691000000001,50,116.2,Entire home/apt,2016-11-14,20003,1,1.0,1,51,98,5810.0,16,1.0
